"row","gene_id","percent_GC","length"
"159","ENSG00000299852",64.05,6801
"160","ENSG00000299870",65.29,6568
"161","ENSG00000299885",64.06,3547
"162","ENSG00000277400",45.63,61428
"163","ENSG00000274847",45.64,61461
"164","ENSG00000307061",44.28,136278
"165","ENSG00000298772",46.19,26749
"166","ENSG00000276312",75.56,89
"167","ENSG00000276700",57.52,152
"168","ENSG00000275757",57.52,152
"169","ENSG00000273739",75.56,89
"170","ENSG00000298142",45.71,1316
"171","ENSG00000301406",38.29,1592
"172","ENSG00000307206",44.33,2893
"173","ENSG00000307077",39.35,25037
"174","ENSG00000310376",62.04,26820
"175","ENSG00000298793",56.36,17791
"176","ENSG00000310392",50,839
"177","ENSG00000306938",34.92,10952
"178","ENSG00000310347",41.81,1434
"179","ENSG00000276932",38.61,100
"180","ENSG00000302801",32.82,5225
"181","ENSG00000307088",41.84,137639
"182","ENSG00000306402",39.59,109882
"183","ENSG00000293753",39.26,9815
"184","ENSG00000299010",35.4,22471
"185","ENSG00000275063",57.27,432
"186","ENSG00000277856",53.06,293
"187","ENSG00000298751",42.97,10675
"188","ENSG00000298769",51.4,534
"189","ENSG00000301091",40.62,1651
"190","ENSG00000303154",50.54,1390
"191","ENSG00000278384",50.21,3026
"192","ENSG00000301761",44.47,91555
"193","ENSG00000307122",42.17,24765
"194","ENSG00000307143",38.87,17228
"195","ENSG00000307166",45.47,9366
"196","ENSG00000274175",49,2599
"197","ENSG00000273554",62.83,8291
"198","ENSG00000275869",49,2605
"199","ENSG00000278510",53.26,290
"200","ENSG00000273843",40.36,1337
"201","ENSG00000277836",54.51,287
"202","ENSG00000294926",36.52,9070
"203","ENSG00000295260",57.69,15709
"204","ENSG00000295285",58.58,972
"205","ENSG00000295455",43.21,2538
"206","ENSG00000295648",63.13,3438
"207","ENSG00000296644",43.45,9934
"208","ENSG00000301787",46.43,22425
"209","ENSG00000296798",43.85,6583
"210","ENSG00000297394",37.62,49476
"211","ENSG00000297936",47.41,30908
"212","ENSG00000300662",46.01,6489
"213","ENSG00000301410",40.61,1831
"214","ENSG00000303548",49.3,2423
"215","ENSG00000303746",46.28,4182
"216","ENSG00000304032",43.94,21006
"217","ENSG00000304964",43.23,20234
"218","ENSG00000305027",53.18,13174
"219","ENSG00000305713",43.07,2465
"220","ENSG00000306124",49.1,1325
"221","ENSG00000307249",39.01,19767
"222","ENSG00000308567",43.98,20994
"223","ENSG00000306474",39.28,94072
"224","ENSG00000309335",43.41,1874
"225","ENSG00000310156",44.87,8950
"226","ENSG00000296732",41.58,116971
"227","ENSG00000306526",38.73,42248
"228","ENSG00000296756",35.98,31502
"229","ENSG00000296775",39.89,18060
"230","ENSG00000298469",47.36,18001
"231","ENSG00000306901",58.63,1829
"232","ENSG00000277890",42.99,106
"233","ENSG00000275249",41.97,1083
"234","ENSG00000274792",43.41,1342
"235","ENSG00000276872",46.86,923
"236","ENSG00000276760",36.66,31411
"237","ENSG00000277927",43.93,106
"238","ENSG00000294368",39.67,9487
"239","ENSG00000294897",38.22,32169
"240","ENSG00000297236",37.45,193683
"241","ENSG00000307608",44.8,6439
"242","ENSG00000309787",54.41,3309
"243","ENSG00000309802",56.85,2627
"244","ENSG00000278673",43.95,1651
"245","ENSG00000294916",39.31,31859
"246","ENSG00000291360",49.79,467
"247","ENSG00000291361",35.15,1029
"248","ENSG00000291362",46.22,14220
"249","ENSG00000291364",64.82,5869
"250","ENSG00000291363",61.79,43195
"251","ENSG00000293532",63.46,36478
"252","ENSG00000288360",53.53,36770
"253","ENSG00000288519",59.17,359
"254","ENSG00000288240",54.26,257
"255","ENSG00000288498",57.53,19048
"256","ENSG00000288126",54.79,72
"257","ENSG00000288183",60.26,77
"258","ENSG00000288462",57.53,72
"259","ENSG00000288505",56.97,18694
"260","ENSG00000288397",54.55,109
"261","ENSG00000288329",59.85,136
"262","ENSG00000288152",52.62,24104
"263","ENSG00000288293",53.88,24678
"264","ENSG00000288195",54.14,22205
"265","ENSG00000288453",59.89,8957
"266","ENSG00000288283",56.3,45509
"267","ENSG00000288351",51.99,351
"268","ENSG00000288474",51.91,3403
"269","ENSG00000288441",57.89,702
"270","ENSG00000288185",51.73,21456
"271","ENSG00000288318",57.47,8713
"272","ENSG00000288278",59.82,895
"273","ENSG00000288191",67.75,2526
"274","ENSG00000288366",79.83,118
"275","ENSG00000288239",55.97,4251
"276","ENSG00000288516",53.35,26396
"277","ENSG00000288496",43.98,431
"278","ENSG00000288210",50.78,17101
"279","ENSG00000288348",55.97,34121
"280","ENSG00000288324",56.42,58444
"281","ENSG00000288289",55.88,271
"282","ENSG00000288425",53.53,2112
"283","ENSG00000288433",48.25,1570
"284","ENSG00000288488",67.21,3503
"285","ENSG00000291365",38.39,170357
"286","ENSG00000291366",53.26,260
"287","ENSG00000280864",44.83,45814
"288","ENSG00000281822",45.73,163
"289","ENSG00000280505",48.8,165
"290","ENSG00000280775",47.66,106
"291","ENSG00000281766",38.54,72968
"292","ENSG00000288175",56.12,12728
"293","ENSG00000288244",45.6,83813
"294","ENSG00000288157",52.24,4785
"295","ENSG00000288304",50.43,3453
"296","ENSG00000288481",50.18,4469
"297","ENSG00000288424",40.37,21726
"298","ENSG00000290627",40.53,21508
"299","ENSG00000288201",47.41,115
"300","ENSG00000288196",40.35,9734
"301","ENSG00000288457",62.27,2114
"302","ENSG00000288522",52.59,2336
"303","ENSG00000288204",59.37,25763
"304","ENSG00000288247",63.42,2112
"305","ENSG00000292327",58.28,53022
"306","ENSG00000292328",51.72,1598
"307","ENSG00000292329",59.6,1348
"308","ENSG00000292332",54.54,46073
"309","ENSG00000292333",48.23,74604
"310","ENSG00000292334",57.28,5961
"311","ENSG00000292337",48.35,2115
"312","ENSG00000292338",47.11,283299
"313","ENSG00000292339",52.23,50623
"314","ENSG00000292342",51.97,861
"315","ENSG00000292344",53.82,27034
"316","ENSG00000292345",49.62,14562
"317","ENSG00000292346",84.38,63
"318","ENSG00000292347",39.58,2359
"319","ENSG00000292348",47.38,50122
"320","ENSG00000292350",53.1,289
"321","ENSG00000292352",46.04,327
"322","ENSG00000292353",54.7,116
"323","ENSG00000292354",51.23,35067
"324","ENSG00000292355",53.33,74
"325","ENSG00000292356",44.17,119
"326","ENSG00000292361",40.35,14038
"327","ENSG00000292363",46.83,22233
"328","ENSG00000292343",60.91,10916
"329","ENSG00000292336",52.08,28022
"330","ENSG00000292330",48.67,1429
"331","ENSG00000292357",50.9,56580
"332","ENSG00000310541",47.99,943
"333","ENSG00000310543",48.09,812
"334","ENSG00000310544",49.15,14913
"335","ENSG00000310545",57.13,1002
"336","ENSG00000310546",47.26,12273
"337","ENSG00000292331",52.42,12598
"338","ENSG00000310547",47.97,11141
"339","ENSG00000310548",47.91,978
"340","ENSG00000292349",50.1,124654
"341","ENSG00000292341",55.51,7845
"342","ENSG00000310549",49.19,4652
"343","ENSG00000310551",67.24,2868
"344","ENSG00000310552",46.43,111
"345","ENSG00000292335",48.32,4273
"346","ENSG00000310553",62.3,8533
"347","ENSG00000310554",62.01,2879
"348","ENSG00000310556",38.31,10009
"349","ENSG00000310540",45.8,105577
"350","ENSG00000288372",53.99,24711
"351","ENSG00000288288",56.92,4140
"352","ENSG00000288129",53.21,16848
"353","ENSG00000288472",48.82,13674
"354","ENSG00000292362",44.34,58190
"355","ENSG00000288417",51.41,5916
"356","ENSG00000288502",57.01,3207
"357","ENSG00000288311",56.58,1093
"358","ENSG00000288449",61.72,11245
"359","ENSG00000288499",59.41,67730
"360","ENSG00000288159",56.19,2003
"361","ENSG00000288431",65.45,436
"362","ENSG00000292360",47.06,43270
"363","ENSG00000310557",47.44,22367
"364","ENSG00000292358",57.12,15452
"365","ENSG00000292364",39.72,991
"366","ENSG00000292365",39.6,249
"367","ENSG00000292366",38.75,62424
"368","ENSG00000292367",40.42,333
"369","ENSG00000292368",42.27,879
"370","ENSG00000292369",53.18,18018
"371","ENSG00000292371",58.08,2213
"372","ENSG00000292372",59.75,4884
"373","ENSG00000310550",37.32,34747
"374","ENSG00000310555",43.82,7204
"375","ENSG00000292370",53.37,2270
"376","ENSG00000292373",55.06,15321
"377","ENSG00000310542",58.7,7118
"378","ENSG00000215601",56.86,2011
"379","ENSG00000215603",34.84,1190
"380","ENSG00000225878",44.42,1163
"381","ENSG00000236435",51.44,1809
"382","ENSG00000258991",68.75,1266
"383","ENSG00000224518",34.85,969
"384","ENSG00000231988",36.19,9394
"385","ENSG00000238073",39.89,4281
"386","ENSG00000275866",57.92,384
"387","ENSG00000271595",36.61,335
"388","ENSG00000183704",36.89,45108
"389","ENSG00000232927",38.25,1063
"390","ENSG00000277438",43.96,297
"391","ENSG00000259154",65.59,1266
"392","ENSG00000273863",39.03,1767
"393","ENSG00000271375",47.95,510
"394","ENSG00000224634",34.21,1212
"395","ENSG00000285470",50.44,1236
"396","ENSG00000234620",41.45,107412
"397","ENSG00000236690",56.46,2167
"398","ENSG00000273693",60.41,585
"399","ENSG00000114374",38.76,323189
"400","ENSG00000291371",45.92,97
"401","ENSG00000291372",36.54,103
"402","ENSG00000291368",55.58,7137
"403","ENSG00000291369",53.18,2921
"404","ENSG00000291370",47.24,759
"405","ENSG00000292254",57.62,60414
"406","ENSG00000223422",56.24,2129
"407","ENSG00000225653",40.26,1549
"408","ENSG00000228578",55.29,2202
"409","ENSG00000275280",64.42,384
"410","ENSG00000270242",42.16,1377
"411","ENSG00000236477",43.63,705
"412","ENSG00000237997",44.44,1277
"413","ENSG00000244246",33.18,668
"414","ENSG00000198692",35.59,17378
"415","ENSG00000183753",42.58,31646
"416","ENSG00000225433",41.5,146
"417","ENSG00000235857",53.06,244
"418","ENSG00000223955",34.43,423
"419","ENSG00000270455",41.56,2066
"420","ENSG00000234385",51.02,1475
"421","ENSG00000226863",47.93,7110
"422","ENSG00000271365",68.34,198
"423","ENSG00000259029",66.46,1266
"424","ENSG00000215537",33.47,1212
"425","ENSG00000229745",39.84,4643
"426","ENSG00000275828",45.4,6168
"427","ENSG00000232522",40.23,11019
"428","ENSG00000277519",32.19,639
"429","ENSG00000273731",63.47,385
"430","ENSG00000215583",51.46,1233
"431","ENSG00000274162",52.25,510
"432","ENSG00000233774",40.1,15419
"433","ENSG00000228764",30.82,6745
"434","ENSG00000232226",38.39,5712
"435","ENSG00000224567",50,393
"436","ENSG00000241200",33.41,819
"437","ENSG00000228518",56.11,826
"438","ENSG00000274231",39.09,242
"439","ENSG00000274502",64.22,203
"440","ENSG00000278854",37.63,969
"441","ENSG00000225809",34.92,12739
"442","ENSG00000232419",41.38,811
"443","ENSG00000226906",42.25,36829
"444","ENSG00000230025",56.08,2344
"445","ENSG00000235649",41.06,30178
"446","ENSG00000258567",67.17,1263
"447","ENSG00000234179",38.16,1118
"448","ENSG00000271309",67.79,207
"449","ENSG00000228240",42.67,1131
"450","ENSG00000234652",40.33,1018
"451","ENSG00000218410",41.01,1645
"452","ENSG00000224989",36.56,14060
"453","ENSG00000273858",54.05,221
"454","ENSG00000227830",37.03,1017
"455","ENSG00000226529",33.7,367
"456","ENSG00000274837",40.7,370
"457","ENSG00000216777",43.4,158
"458","ENSG00000216824",35.05,1109
"459","ENSG00000276829",38.45,722
"460","ENSG00000283076",52.12,2213
"461","ENSG00000234850",32.77,469
"462","ENSG00000270570",71.6,168
"463","ENSG00000223517",39.91,1277
"464","ENSG00000228207",57.43,2073
"465","ENSG00000225117",46.29,33232
"466","ENSG00000228411",44.99,1857
"467","ENSG00000229518",41.49,416
"468","ENSG00000232730",51.2,1212
"469","ENSG00000244000",35.18,758
"470","ENSG00000232764",38.6,1069
"471","ENSG00000236131",42.11,170
"472","ENSG00000227949",40.69,203
"473","ENSG00000252900",33.96,105
"474","ENSG00000252689",31.06,131
"475","ENSG00000243980",54.45,291
"476","ENSG00000252315",57.52,112
"477","ENSG00000252012",57.76,115
"478","ENSG00000273966",56.67,89
"479","ENSG00000252173",32.71,106
"480","ENSG00000252323",32.71,106
"481","ENSG00000169953",39.22,42295
"482","ENSG00000236429",36.11,143
"483","ENSG00000249501",31.95,3148
"484","ENSG00000228193",39.58,330
"485","ENSG00000230904",40.04,491
"486","ENSG00000238135",33.9,3380
"487","ENSG00000251970",46.3,161
"488","ENSG00000238088",36.09,19016
"489","ENSG00000217179",40.35,170
"490","ENSG00000217896",46.32,1223
"491","ENSG00000185275",54.32,242
"492","ENSG00000252766",32.38,104
"493","ENSG00000288269",65.97,9876
"494","ENSG00000274282",39.91,6915
"495","ENSG00000234529",46.67,1004
"496","ENSG00000238191",49.76,4573
"497","ENSG00000226353",40.56,889
"498","ENSG00000226449",40.89,1579
"499","ENSG00000225896",38.3,328
"500","ENSG00000229129",55.02,1124
"501","ENSG00000223555",24.87,2605
"502","ENSG00000235521",33.59,1169
"503","ENSG00000252513",48.75,159
"504","ENSG00000224964",37.77,2713
"505","ENSG00000225740",36.59,327
"506","ENSG00000229138",43.6,1609
"507","ENSG00000224485",30.9,2051
"508","ENSG00000226116",33.65,8931
"509","ENSG00000237558",42,1911
"510","ENSG00000233378",33.61,8911
"511","ENSG00000237616",30.9,2051
"512","ENSG00000224033",43.6,1609
"513","ENSG00000230412",36.59,327
"514","ENSG00000225895",37.58,2788
"515","ENSG00000233120",33.53,1168
"516","ENSG00000252166",48.75,159
"517","ENSG00000232744",24.84,2604
"518","ENSG00000229465",55.02,1124
"519","ENSG00000236599",38.3,328
"520","ENSG00000232899",40.89,1579
"521","ENSG00000229302",40.61,888
"522","ENSG00000228945",49.78,4583
"523","ENSG00000278391",56.67,89
"524","ENSG00000251953",57.76,115
"525","ENSG00000252667",57.52,112
"526","ENSG00000249726",55.14,2177
"527","ENSG00000225716",36.47,328
"528","ENSG00000229406",36.11,18987
"529","ENSG00000252209",46.3,161
"530","ENSG00000249634",33.84,3380
"531","ENSG00000238067",40.04,491
"532","ENSG00000230377",39.58,330
"533","ENSG00000250951",31.95,3148
"534","ENSG00000230458",36.11,143
"535","ENSG00000235479",38.42,608
"536","ENSG00000249606",31.59,670
"537","ENSG00000267793",35.26,569
"538","ENSG00000260197",32.33,2665
"539","ENSG00000012817",38.66,41074
"540","ENSG00000288213",59.8,10941
"541","ENSG00000288186",61.19,1558
"542","ENSG00000172468",39.22,42272
"543","ENSG00000176679",51.18,974
"544","ENSG00000182415",44.23,1959
"545","ENSG00000233126",36.63,1948
"546","ENSG00000227251",38.03,1156
"547","ENSG00000252633",50.17,298
"548","ENSG00000251996",41.96,111
"549","ENSG00000252155",47.22,107
"550","ENSG00000252472",34.29,104
"551","ENSG00000224953",50.68,218
"552","ENSG00000274365",47.4,191
"553","ENSG00000233634",44.69,545
"554","ENSG00000237701",47.26,619
"555","ENSG00000273906",41.47,2109
"556","ENSG00000232976",38.6,1069
"557","ENSG00000226270",36.04,1278
"558","ENSG00000227837",38.18,1141
"559","ENSG00000278602",38.18,1141
"560","ENSG00000223978",35.58,1275
"561","ENSG00000278197",38.6,1069
"562","ENSG00000230819",35.16,804
"563","ENSG00000185894",42.58,31647
"564","ENSG00000228296",42.25,36809
"565","ENSG00000205916",35.66,73197
"566","ENSG00000129873",44.31,1960
"567","ENSG00000251841",37.14,104
"568","ENSG00000184895",46.62,827
"569","ENSG00000282162",47.68,473
"570","ENSG00000281934",48.02,6805
"571","ENSG00000232195",43.88,236
"572","ENSG00000286130",39.71,12659
"573","ENSG00000129824",40.56,90398
"574","ENSG00000282116",50.32,3232
"575","ENSG00000282175",46.13,1317
"576","ENSG00000282817",47.2,4823
"577","ENSG00000229163",41.7,2119
"578","ENSG00000278847",32.79,365
"579","ENSG00000067646",37.27,47225
"580","ENSG00000282584",48.2,6989
"581","ENSG00000282663",47.85,5374
"582","ENSG00000279195",50.06,3872
"583","ENSG00000223600",45.89,206
"584","ENSG00000215414",41.97,740
"585","ENSG00000224035",39.61,12015
"586","ENSG00000223915",40.11,555
"587","ENSG00000282338",45.79,106
"588","ENSG00000282549",49.04,2091
"589","ENSG00000067048",37.7,16370
"590","ENSG00000282119",47.55,9108
"591","ENSG00000282791",50.11,2791
"592","ENSG00000282437",48.08,7015
"593","ENSG00000282559",47.02,1360
"594","ENSG00000282566",47.51,9207
"595","ENSG00000282258",50.59,2792
"596","ENSG00000282562",51.9,1286
"597","ENSG00000282530",46.09,1366
"598","ENSG00000282468",50.61,2797
"599","ENSG00000290624",48.42,1616
"600","ENSG00000282341",47.29,479
"601","ENSG00000281987",48.32,7056
"602","ENSG00000282095",48.64,881
"603","ENSG00000282298",48.13,7009
"604","ENSG00000234059",38.48,18017
"605","ENSG00000183878",37.54,246096
"606","ENSG00000282741",46.73,5221
"607","ENSG00000282212",49.74,3401
"608","ENSG00000282289",50.61,2789
"609","ENSG00000282424",47.59,9102
"610","ENSG00000282216",49.07,2088
"611","ENSG00000282288",45.79,106
"612","ENSG00000282583",49.88,4139
"613","ENSG00000282125",47.9,5368
"614","ENSG00000293551",51.96,2780
"615","ENSG00000154620",42.71,2125
"616","ENSG00000129864",61.97,701
"617","ENSG00000187191",36.06,50423
"618","ENSG00000291381",57.34,14798
"619","ENSG00000291405",55.96,1518
"620","ENSG00000291404",53.74,11558
"621","ENSG00000291376",56.35,2661
"622","ENSG00000291382",54.1,5491
"623","ENSG00000291377",60.75,185
"624","ENSG00000291375",43.85,105646
"625","ENSG00000188120",35.94,69655
"626","ENSG00000291379",48.1,45568
"627","ENSG00000291374",41.47,380
"628","ENSG00000291401",50.4,50430
"629","ENSG00000291380",49.37,19357
"630","ENSG00000251925",45.65,137
"631","ENSG00000286744",47.06,101
"632","ENSG00000236647",58.28,1576
"633","ENSG00000291388",46.15,7533
"634","ENSG00000099721",41.49,45834
"635","ENSG00000291402",54.22,16913
"636","ENSG00000291389",53.66,163
"637","ENSG00000291390",46.81,6760
"638","ENSG00000291391",56.01,1106
"639","ENSG00000291392",59.01,1763
"640","ENSG00000291393",52.08,143
"641","ENSG00000291394",44.16,3892
"642","ENSG00000092377",43.32,191284
"643","ENSG00000291386",40.64,437
"644","ENSG00000291385",54.88,163
"645","ENSG00000291408",45.65,2148
"646","ENSG00000291384",64.37,507
"647","ENSG00000291400",48.14,12725
"648","ENSG00000291383",54.17,143
"649","ENSG00000291395",58.89,342
"650","ENSG00000291397",40.61,7679
"651","ENSG00000291398",38.39,434
"652","ENSG00000291396",54.27,163
"653","ENSG00000291399",54.27,163
"654","ENSG00000291387",51.75,52690
"655","ENSG00000292230",48.32,126427
"656","ENSG00000291403",48.34,126334
"657","ENSG00000292231",57.22,14375
"658","ENSG00000291407",50.78,4956
"659","ENSG00000292235",40.27,7009
"660","ENSG00000292236",38.39,434
"661","ENSG00000292238",60.76,4658
"662","ENSG00000292239",60.83,4666
"663","ENSG00000292240",60.5,4723
"664","ENSG00000292241",60.77,4664
"665","ENSG00000292242",60.7,4668
"666","ENSG00000292229",55.53,31926
"667","ENSG00000292226",44.09,62192
"668","ENSG00000205944",35.43,71909
"669","ENSG00000292228",44.05,66955
"670","ENSG00000292227",44.06,62239
"671","ENSG00000292225",44.04,62235
"672","ENSG00000226555",44.81,1262
"673","ENSG00000228787",33.48,10391
"674","ENSG00000165246",38.63,323081
"675","ENSG00000229343",41.83,1553
"676","ENSG00000232695",35.89,325
"677","ENSG00000235511",37.07,26722
"678","ENSG00000232914",36.99,2732
"679","ENSG00000223655",41.01,572
"680","ENSG00000230854",31.76,6438
"681","ENSG00000252625",46.34,163
"682","ENSG00000227635",30.65,2048
"683","ENSG00000237546",36.09,10884
"684","ENSG00000227867",39.46,331
"685","ENSG00000231716",40.73,1013
"686","ENSG00000234744",30.7,6602
"687","ENSG00000233156",31.76,802
"688","ENSG00000289705",47.06,101
"689","ENSG00000225876",42.15,222
"690","ENSG00000251796",45.65,137
"691","ENSG00000252948",36.54,103
"692","ENSG00000233843",47.74,619
"693","ENSG00000129862",61.89,731
"694","ENSG00000235451",40.64,5525
"695","ENSG00000289706",34.56,135
"696","ENSG00000225624",45.06,15646
"697","ENSG00000280969",42.67,24924
"698","ENSG00000224482",35.7,3033
"699","ENSG00000216844",59.12,454
"700","ENSG00000229551",41.06,1000
"701","ENSG00000226504",37.44,218
"702","ENSG00000254488",45.94,6435
"703","ENSG00000237427",44.55,311
"704","ENSG00000232634",46.65,983
"705","ENSG00000226918",35.66,7627
"706","ENSG00000183146",52.33,3406
"707","ENSG00000236615",65.93,225
"708","ENSG00000169849",50.67,2525
"709","ENSG00000169811",36.04,8449
"710","ENSG00000242393",58.93,2171
"711","ENSG00000228257",58.95,2172
"712","ENSG00000184991",46.62,39989
"713","ENSG00000271123",38.74,332
"714","ENSG00000226042",42.44,1566
"715","ENSG00000237023",34.64,12082
"716","ENSG00000229416",32.17,3872
"717","ENSG00000230029",40.1,1650
"718","ENSG00000224169",38.77,1219
"719","ENSG00000223407",31.16,8356
"720","ENSG00000226873",40.73,1013
"721","ENSG00000227915",39.46,331
"722","ENSG00000236620",36.1,10886
"723","ENSG00000224866",30.63,2056
"724","ENSG00000232424",31.74,6435
"725","ENSG00000252681",46.34,163
"726","ENSG00000232910",41.01,572
"727","ENSG00000232845",37.04,2745
"728","ENSG00000237302",37.17,26918
"729","ENSG00000252468",43.98,190
"730","ENSG00000231341",47.02,854
"731","ENSG00000235001",48.28,1219
"732","ENSG00000214207",57.26,1286
"733","ENSG00000278585",57.95,175
"734","ENSG00000235175",42.69,437
"735","ENSG00000099715",35.66,741998
"736","ENSG00000231540",37.66,238
"737","ENSG00000223362",42.1,1569
"738","ENSG00000231026",42.24,482
"739","ENSG00000224571",29.64,1605
"740","ENSG00000226369",31.54,5148
"741","ENSG00000280961",31.94,4895
"742","ENSG00000227871",31.62,6366
"743","ENSG00000251917",44.16,153
"744","ENSG00000231423",38.71,3649
"745","ENSG00000228465",38.52,3130
"746","ENSG00000232585",36.45,22301
"747","ENSG00000234081",36.09,326
"748","ENSG00000172352",41.35,2790
