"","row","gene_id","percent_GC","length"
"27756",27756,"ENSG00000005469",37.43,54130
"27873",27873,"ENSG00000005471",38.6,78739
"47062",47062,"ENSG00000005483",39.74,174076
"38851",38851,"ENSG00000005486",47.79,46324
"57727",57727,"ENSG00000005513",65.75,5535
"6435",6435,"ENSG00000005700",36.07,77768
"16391",16391,"ENSG00000005801",41.43,39961
"5431",5431,"ENSG00000005810",35.75,284620
"3846",3846,"ENSG00000005812",38.36,34597
"28977",28977,"ENSG00000005844",50.45,50909
"35997",35997,"ENSG00000005882",56.67,17415
"65197",65197,"ENSG00000005884",52.64,34513
"18823",18823,"ENSG00000005889",40.77,67082
"40990",40990,"ENSG00000005893",38.61,43217
"37089",37089,"ENSG00000005961",54.81,17469
"8967",8967,"ENSG00000005981",38.27,61789
"60538",60538,"ENSG00000006007",40.14,20430
"38252",38252,"ENSG00000006015",60.22,3652
"38239",38239,"ENSG00000006016",55.32,35521
"66557",66557,"ENSG00000006025",57.84,14431
"78778",78778,"ENSG00000006042",48.47,17196
"38372",38372,"ENSG00000006047",58.02,6376
"34087",34087,"ENSG00000006059",48.39,4736
"30940",30940,"ENSG00000006062",49.97,53910
"73569",73569,"ENSG00000006071",50.03,84396
"36982",36982,"ENSG00000006116",44.39,106077
"32835",32835,"ENSG00000006118",58.71,12699
"5517",5517,"ENSG00000006125",39.93,148367
"9101",9101,"ENSG00000006128",39.5,8388
"67469",67469,"ENSG00000006194",47.09,37601
"7815",7815,"ENSG00000006210",53.75,12567
"66649",66649,"ENSG00000006282",57.05,12794
"51556",51556,"ENSG00000006283",56.94,66759
"14398",14398,"ENSG00000006327",60.12,3938
"16267",16267,"ENSG00000006377",49.51,5487
"25296",25296,"ENSG00000006432",44.98,87008
"22419",22419,"ENSG00000006451",39.66,84555
"15299",15299,"ENSG00000006453",46.78,109440
"19298",19298,"ENSG00000006459",39.15,92237
"55643",55643,"ENSG00000006468",36.3,100196
"18656",18656,"ENSG00000006530",39.57,103966
"63321",63321,"ENSG00000006534",58.4,20704
"10242",10242,"ENSG00000006555",52.34,21611
"50857",50857,"ENSG00000006576",37.66,158730
"38827",38827,"ENSG00000006606",48.09,20363
"25327",25327,"ENSG00000006607",45.58,138556
"40016",40016,"ENSG00000006611",51.78,50521
"22127",22127,"ENSG00000006625",40.54,8220
"35142",35142,"ENSG00000006634",36.72,33337
"33893",33893,"ENSG00000006638",55.81,12368
"21238",21238,"ENSG00000006652",39.46,58130
"58214",58214,"ENSG00000006659",45.19,4963
"18941",18941,"ENSG00000006695",39.2,162246
"38678",38678,"ENSG00000006704",52.72,148815
"13426",13426,"ENSG00000006712",52.37,5525
"9807",9807,"ENSG00000006715",38.35,209420
"42739",42739,"ENSG00000006740",42.69,202145
"18602",18602,"ENSG00000006744",48.02,26453
"71797",71797,"ENSG00000006747",38.46,89605
"23296",23296,"ENSG00000006756",48.88,25377
"28408",28408,"ENSG00000006757",40.45,29492
"17490",17490,"ENSG00000006788",45.88,72265
"21743",21743,"ENSG00000006831",39.4,100100
"40906",40906,"ENSG00000006837",40.16,84697
"79850",79850,"ENSG00000007001",40.24,259475
"31616",31616,"ENSG00000007038",55.65,9124
"43592",43592,"ENSG00000007047",53.57,225996
"18995",18995,"ENSG00000007062",43.17,121302
"38083",38083,"ENSG00000007080",55.84,10976
"49844",49844,"ENSG00000007129",44.66,37326
"68047",68047,"ENSG00000007168",42.41,92432
"46797",46797,"ENSG00000007171",51.35,43763
"18219",18219,"ENSG00000007174",42.62,371278
"67180",67180,"ENSG00000007202",46.75,31008
"49114",49114,"ENSG00000007216",52.55,24488
"30845",30845,"ENSG00000007237",47.97,288000
"23195",23195,"ENSG00000007255",56.86,15309
"5126",5126,"ENSG00000007264",54.4,24159
"49876",49876,"ENSG00000007306",47.85,33673
"49092",49092,"ENSG00000007312",60.63,3598
"31090",31090,"ENSG00000007314",56.1,34364
"25328",25328,"ENSG00000007341",39.05,97311
"42522",42522,"ENSG00000007350",48.27,34555
"57677",57677,"ENSG00000007372",49.68,33182
"68245",68245,"ENSG00000007376",67.17,3423
"17690",17690,"ENSG00000007384",61.15,18296
"23877",23877,"ENSG00000007392",47.33,40494
"75161",75161,"ENSG00000007402",56.51,141631
"56897",56897,"ENSG00000007516",65.69,15801
"28779",28779,"ENSG00000007520",62.41,2638
"13701",13701,"ENSG00000007541",64.34,17114
"5728",5728,"ENSG00000007545",53.1,65571
"30391",30391,"ENSG00000007866",56.75,23482
"22633",22633,"ENSG00000007908",39.36,42065
"70020",70020,"ENSG00000007923",46.6,67756
"60411",60411,"ENSG00000007933",36.5,26918
"62877",62877,"ENSG00000007944",40.76,22281
"40841",40841,"ENSG00000007952",41.15,31035
"26796",26796,"ENSG00000007968",51.65,24795
"13398",13398,"ENSG00000008018",39.78,18187
"8563",8563,"ENSG00000008056",47.76,47956
"4107",4107,"ENSG00000008083",43.92,275973
"3488",3488,"ENSG00000008086",40.21,228046
"24663",24663,"ENSG00000008118",47.01,30225
"39587",39587,"ENSG00000008128",52.05,21978
"39752",39752,"ENSG00000008130",53.7,29225
"6994",6994,"ENSG00000008196",44.14,28896
"15456",15456,"ENSG00000008197",37.24,59507
"26075",26075,"ENSG00000008226",48.5,84820
"71730",71730,"ENSG00000008256",44.78,110865
"35255",35255,"ENSG00000008277",37.29,268746
"50382",50382,"ENSG00000008282",38.19,22084
"26254",26254,"ENSG00000008283",57.39,14050
"43059",43059,"ENSG00000008294",40,158694
"42436",42436,"ENSG00000008300",59.87,26423
"32333",32333,"ENSG00000008311",36.53,79725
"48760",48760,"ENSG00000008323",55.71,18070
"40694",40694,"ENSG00000008324",46.56,15094
"73929",73929,"ENSG00000008382",55.95,16559
"5291",5291,"ENSG00000008394",36.94,262117
"68874",68874,"ENSG00000008405",37.55,102185
"15149",15149,"ENSG00000008438",57.65,3900
"42156",42156,"ENSG00000008441",55.31,103321
"46531",46531,"ENSG00000008513",49.39,117078
"65377",65377,"ENSG00000008516",58.88,14667
"38610",38610,"ENSG00000008517",53.36,16895
"49228",49228,"ENSG00000008710",63.1,47190
"13394",13394,"ENSG00000008735",62.89,13188
"72392",72392,"ENSG00000008838",50.63,42118
"30709",30709,"ENSG00000008853",53.45,33092
"28537",28537,"ENSG00000008869",38.6,115989
"56414",56414,"ENSG00000008952",36.6,31738
"23263",23263,"ENSG00000008988",41.73,7256
"69031",69031,"ENSG00000009307",38.28,41763
"56972",56972,"ENSG00000009335",42.11,130444
"55209",55209,"ENSG00000009413",36.9,184687
"43548",43548,"ENSG00000009694",36.99,828409
"81546",81546,"ENSG00000009709",52.36,118020
"78344",78344,"ENSG00000009724",47.92,25230
"15472",15472,"ENSG00000009765",41.6,37077
"37945",37945,"ENSG00000009780",43.38,37155
"72604",72604,"ENSG00000009790",45.61,26288
"29078",29078,"ENSG00000009830",47.08,45927
"8181",8181,"ENSG00000009844",35.53,77523
"48367",48367,"ENSG00000009950",56.25,31349
"38623",38623,"ENSG00000009954",43.19,81887
"26460",26460,"ENSG00000010017",37.08,90337
"27103",27103,"ENSG00000010030",49.34,33709
"24191",24191,"ENSG00000010072",41.57,17919
"63143",63143,"ENSG00000010165",43.61,32363
"58172",58172,"ENSG00000010219",42.77,53094
"77323",77323,"ENSG00000010244",38.46,31753
"74406",74406,"ENSG00000010256",53.04,11974
"44572",44572,"ENSG00000010270",38.39,52425
"36376",36376,"ENSG00000010278",51.04,38556
"40704",40704,"ENSG00000010282",56.48,10161
"37549",37549,"ENSG00000010292",46.34,38599
"38157",38157,"ENSG00000010295",54.33,17112
"31602",31602,"ENSG00000010310",54.94,15501
"53556",53556,"ENSG00000010318",45.17,12981
"43223",43223,"ENSG00000010319",59.62,12068
"43244",43244,"ENSG00000010322",53.28,37950
"71505",71505,"ENSG00000010327",60.65,29157
"22156",22156,"ENSG00000010361",52.28,10510
"63871",63871,"ENSG00000010379",47.19,42252
"6708",6708,"ENSG00000010404",45.34,44108
"27552",27552,"ENSG00000010438",42.71,48552
"67945",67945,"ENSG00000010539",43.67,13896
"28114",28114,"ENSG00000010610",48.56,33941
"28510",28510,"ENSG00000010626",47.35,40672
"31238",31238,"ENSG00000010671",43.18,41458
"60763",60763,"ENSG00000010704",44.86,11117
"86320",86320,"ENSG00000010803",39.54,215104
"50544",50544,"ENSG00000010810",42.42,213120
"47737",47737,"ENSG00000010818",38.72,205229
"24143",24143,"ENSG00000010932",40.91,37507
"65431",65431,"ENSG00000011007",45.21,18611
"81609",81609,"ENSG00000011009",62.33,4429
"86360",86360,"ENSG00000011021",48.13,41983
"36422",36422,"ENSG00000011028",52.16,65927
"8165",8165,"ENSG00000011052",48.86,18154
"44442",44442,"ENSG00000011083",54.63,32726
"61299",61299,"ENSG00000011105",52.13,209209
"42672",42672,"ENSG00000011114",40.08,95542
"3977",3977,"ENSG00000011132",56.61,10920
"24364",24364,"ENSG00000011143",47.45,14164
"8732",8732,"ENSG00000011198",40.26,44263
"2421",2421,"ENSG00000011201",39.59,203263
"34981",34981,"ENSG00000011243",48.86,39091
"8806",8806,"ENSG00000011258",39.5,82738
"7942",7942,"ENSG00000011260",40.36,37390
"24985",24985,"ENSG00000011275",45.52,161649
"61076",61076,"ENSG00000011295",40.8,45231
"28708",28708,"ENSG00000011304",61.17,15252
"44156",44156,"ENSG00000011332",57.15,18708
"6784",6784,"ENSG00000011347",57.18,67434
"44237",44237,"ENSG00000011376",42.34,166165
"47125",47125,"ENSG00000011405",39.84,130256
"10151",10151,"ENSG00000011422",49.94,24452
"60731",60731,"ENSG00000011426",37.87,63970
"33001",33001,"ENSG00000011451",58.15,29978
"15208",15208,"ENSG00000011454",38.49,164033
"26814",26814,"ENSG00000011465",34.9,42733
"31702",31702,"ENSG00000011478",52.54,11586
"48922",48922,"ENSG00000011485",50.7,45894
"77104",77104,"ENSG00000011523",47.82,30650
"60098",60098,"ENSG00000011566",36.89,188035
"42271",42271,"ENSG00000011590",52.47,12480
"30063",30063,"ENSG00000011600",51.45,3894
"32080",32080,"ENSG00000011638",43.7,22239
"43034",43034,"ENSG00000011677",37.36,285081
"70136",70136,"ENSG00000012048",44.09,125950
"63447",63447,"ENSG00000012061",52.1,71494
"12834",12834,"ENSG00000012124",50.24,28100
"41714",41714,"ENSG00000012171",60.71,9988
"3268",3268,"ENSG00000012174",38.5,45806
"13543",13543,"ENSG00000012211",55.64,11726
"44374",44374,"ENSG00000012223",46.95,49589
"36799",36799,"ENSG00000012232",44.35,156092
"13684",13684,"ENSG00000012504",39.74,90706
"5236",5236,"ENSG00000012660",41.88,81781
"50249",50249,"ENSG00000012779",47.73,71943
"539",539,"ENSG00000012817",38.66,41074
"78302",78302,"ENSG00000012822",49.2,19228
"10118",10118,"ENSG00000012963",43.11,21974
"27983",27983,"ENSG00000012983",37.27,142625
"9514",9514,"ENSG00000013016",50.24,35299
"19778",19778,"ENSG00000013275",49.94,10599
"35731",35731,"ENSG00000013288",54.58,48173
"71501",71501,"ENSG00000013293",42.15,126527
"71494",71494,"ENSG00000013297",43.14,35865
"36964",36964,"ENSG00000013306",61.11,5245
"39939",39939,"ENSG00000013364",52.54,27645
"33325",33325,"ENSG00000013374",44.89,36677
"44450",44450,"ENSG00000013375",38.23,46612
"44164",44164,"ENSG00000013392",44.9,5578
"60442",60442,"ENSG00000013441",41.73,11682
"70846",70846,"ENSG00000013503",39.73,152450
"48632",48632,"ENSG00000013523",45.16,44513
"58490",58490,"ENSG00000013561",42.05,31964
"30251",30251,"ENSG00000013563",54.46,10876
"64885",64885,"ENSG00000013573",52.26,30939
"48238",48238,"ENSG00000013583",43.51,25395
"68812",68812,"ENSG00000013588",46.77,27155
"24537",24537,"ENSG00000013619",44.08,152756
"32882",32882,"ENSG00000013725",49.93,48697
"34483",34483,"ENSG00000013810",56.92,32313
"37490",37490,"ENSG00000014123",33.38,33681
"68425",68425,"ENSG00000014138",47.83,44046
"27981",27981,"ENSG00000014164",58.38,103788
"60835",60835,"ENSG00000014216",51.18,31440
"69198",69198,"ENSG00000014257",40.39,50933
"33847",33847,"ENSG00000014641",38.05,18588
"39654",39654,"ENSG00000014824",36.97,99959
"61119",61119,"ENSG00000014914",49.97,8228
"37434",37434,"ENSG00000014919",42.22,21259
"36760",36760,"ENSG00000015133",51.25,146521
"37859",37859,"ENSG00000015153",39.02,81245
"38121",38121,"ENSG00000015171",37.94,124549
"34595",34595,"ENSG00000015285",50.82,14835
"42191",42191,"ENSG00000015413",59.08,25148
"3829",3829,"ENSG00000015475",52.51,40632
"20591",20591,"ENSG00000015479",38.77,38003
"51962",51962,"ENSG00000015520",51.49,28795
"36194",36194,"ENSG00000015532",56.47,17012
"35065",35065,"ENSG00000015568",39.34,64947
"35560",35560,"ENSG00000015592",48.02,23112
"46947",46947,"ENSG00000015676",44.47,111539
"4663",4663,"ENSG00000016082",44.27,11282
"45453",45453,"ENSG00000016391",49.35,34084
"37068",37068,"ENSG00000016402",41.2,45209
"73040",73040,"ENSG00000016490",40.09,31891
"73052",73052,"ENSG00000016602",37.99,33676
"67720",67720,"ENSG00000016864",44.5,11546
"29086",29086,"ENSG00000017260",37.56,166117
"64159",64159,"ENSG00000017427",39.7,85870
"27691",27691,"ENSG00000017483",54.9,11723
"1482",1482,"ENSG00000017797",41.37,63105
"17920",17920,"ENSG00000018189",39.9,104415
"64695",64695,"ENSG00000018236",35.21,379976
"79536",79536,"ENSG00000018280",55.34,14865
"30458",30458,"ENSG00000018408",41.07,219479
"49106",49106,"ENSG00000018510",36.6,174278
"76598",76598,"ENSG00000018607",40.79,9427
"31852",31852,"ENSG00000018610",44.29,27260
"82190",82190,"ENSG00000018625",50.38,27832
"58623",58623,"ENSG00000018699",39.46,193019
"48495",48495,"ENSG00000018869",40.84,17692
"66100",66100,"ENSG00000019102",53.76,4781
"49616",49616,"ENSG00000019144",54.3,51591
"84795",84795,"ENSG00000019169",44.33,52466
"22962",22962,"ENSG00000019186",43.37,20540
"64100",64100,"ENSG00000019485",47.84,139304
"44506",44506,"ENSG00000019505",46.29,46039
"8758",8758,"ENSG00000019549",40.53,4142
"39764",39764,"ENSG00000019582",53.33,11332
"10613",10613,"ENSG00000019991",34.42,71428
"42121",42121,"ENSG00000019995",39.68,46066
"53905",53905,"ENSG00000020129",57.71,9801
"38752",38752,"ENSG00000020181",55.25,60705
"23601",23601,"ENSG00000020219",57.11,1673
"32249",32249,"ENSG00000020256",44.05,152645
"3372",3372,"ENSG00000020426",36.62,235223
"11418",11418,"ENSG00000020577",43.24,227198
"79766",79766,"ENSG00000020633",54.8,65610
"63747",63747,"ENSG00000020922",37.3,78315
"7375",7375,"ENSG00000021300",52.94,16641
"15734",15734,"ENSG00000021355",43.07,9627
"40228",40228,"ENSG00000021461",40.68,38080
"72204",72204,"ENSG00000021488",46.63,39258
"80059",80059,"ENSG00000021574",40,94081
"23272",23272,"ENSG00000021645",39.46,1697918
"24635",24635,"ENSG00000021762",57,79632
"46268",46268,"ENSG00000021776",37.52,117960
"75214",75214,"ENSG00000021826",36.31,201425
"72726",72726,"ENSG00000021852",42.88,45176
"19438",19438,"ENSG00000022267",42.07,64657
"12188",12188,"ENSG00000022277",43.71,50864
"14566",14566,"ENSG00000022355",34.99,52918
"48678",48678,"ENSG00000022556",49.09,48012
"18353",18353,"ENSG00000022567",52.64,101139
"47213",47213,"ENSG00000022840",45.25,44108
"48972",48972,"ENSG00000022976",49.04,25325
"24583",24583,"ENSG00000023041",39.22,23144
"48841",48841,"ENSG00000023171",45.8,269346
"63220",63220,"ENSG00000023191",60.36,12788
"79094",79094,"ENSG00000023228",40.76,44692
"9815",9815,"ENSG00000023287",37.73,123385
"35854",35854,"ENSG00000023318",37.86,119867
"33701",33701,"ENSG00000023330",45.47,16241
"72195",72195,"ENSG00000023445",37.57,21919
"1424",1424,"ENSG00000023516",36.45,51109
"38034",38034,"ENSG00000023572",39.59,15248
"30331",30331,"ENSG00000023608",39.55,34008
"5841",5841,"ENSG00000023697",39.11,126079
"6126",6126,"ENSG00000023734",36.48,21091
"45294",45294,"ENSG00000023839",45.05,69954
"45440",45440,"ENSG00000023892",48.5,23953
"76193",76193,"ENSG00000023902",51.63,15537
"17180",17180,"ENSG00000023909",36.37,24257
"23676",23676,"ENSG00000024048",39.11,129476
"15570",15570,"ENSG00000024422",52.89,29712
"81711",81711,"ENSG00000024526",34.94,23069
"22117",22117,"ENSG00000024862",38.91,19550
"55368",55368,"ENSG00000025039",42.23,47657
"8977",8977,"ENSG00000025156",35.55,33568
"3203",3203,"ENSG00000025293",44.08,178396
"36649",36649,"ENSG00000025423",44.92,35629
"65173",65173,"ENSG00000025434",50.86,20733
"13028",13028,"ENSG00000025708",64.42,4280
"12866",12866,"ENSG00000025770",55.48,16556
"26286",26286,"ENSG00000025772",44.95,18267
"43974",43974,"ENSG00000025796",39.82,90452
"48499",48499,"ENSG00000025800",44.21,68507
"31189",31189,"ENSG00000026025",46.3,9352
"25651",25651,"ENSG00000026036",59.83,39384
"34752",34752,"ENSG00000026103",39.26,75792
"32932",32932,"ENSG00000026297",48.85,35078
"50005",50005,"ENSG00000026508",41.56,93520
"13581",13581,"ENSG00000026559",52.17,19451
"54840",54840,"ENSG00000026652",45.36,144094
"82682",82682,"ENSG00000026751",43.99,15764
"71902",71902,"ENSG00000026950",44.45,12979
"1241",1241,"ENSG00000027001",39.76,159211
"56374",56374,"ENSG00000027075",42.48,363421
"36197",36197,"ENSG00000027644",55.62,19054
"42962",42962,"ENSG00000027697",38.8,21966
"41761",41761,"ENSG00000027847",57.85,10198
"82893",82893,"ENSG00000027869",55.53,10608
"35835",35835,"ENSG00000028116",35.24,252291
"8628",8628,"ENSG00000028137",55.4,42237
"53364",53364,"ENSG00000028203",38.6,85053
"45008",45008,"ENSG00000028277",51.31,110475
"37786",37786,"ENSG00000028310",55.12,42510
"19134",19134,"ENSG00000028528",43.68,51967
"14620",14620,"ENSG00000028839",37.6,38262
"60474",60474,"ENSG00000029153",39.27,92453
"9244",9244,"ENSG00000029363",35.59,33224
"41303",41303,"ENSG00000029364",40.2,64375
"43459",43459,"ENSG00000029534",49.31,243521
"31507",31507,"ENSG00000029559",36.14,12881
"19906",19906,"ENSG00000029639",38.43,58359
"58219",58219,"ENSG00000029725",41.34,104075
"38738",38738,"ENSG00000029993",51.17,10262
"58658",58658,"ENSG00000030066",41.86,70468
"55742",55742,"ENSG00000030110",57.18,7746
"31560",31560,"ENSG00000030304",36.28,137779
"80014",80014,"ENSG00000030419",34.84,152736
"65707",65707,"ENSG00000030582",57.73,7860
"39637",39637,"ENSG00000031003",40.05,114001
"13955",13955,"ENSG00000031081",43.44,126331
"5331",5331,"ENSG00000031691",37.99,29737
"72158",72158,"ENSG00000031698",43.12,24264
"4162",4162,"ENSG00000031823",52.74,62003
"19743",19743,"ENSG00000032219",37.46,75383
"37112",37112,"ENSG00000032389",48.26,188905
"28377",28377,"ENSG00000032444",55.88,27760
"2602",2602,"ENSG00000032742",38.71,124306
"36691",36691,"ENSG00000033011",49.38,53677
"68455",68455,"ENSG00000033030",42.56,29332
"21971",21971,"ENSG00000033050",48.3,15721
"43358",43358,"ENSG00000033100",56.53,8496
"29688",29688,"ENSG00000033122",35.38,584023
"4179",4179,"ENSG00000033170",37.41,333529
"7247",7247,"ENSG00000033178",35.51,88503
"59257",59257,"ENSG00000033327",41.71,203055
"60120",60120,"ENSG00000033627",45.46,63738
"21024",21024,"ENSG00000033800",38.06,144294
"73741",73741,"ENSG00000033867",36.85,111697
"29745",29745,"ENSG00000034053",48.63,233832
"70947",70947,"ENSG00000034152",56.98,30560
"7470",7470,"ENSG00000034239",40.09,24522
"12313",12313,"ENSG00000034510",63.48,1015
"30259",30259,"ENSG00000034533",39.7,13774
"10110",10110,"ENSG00000034677",38.61,79158
"8929",8929,"ENSG00000034693",35.1,39811
"17170",17170,"ENSG00000034713",47.12,11506
"55340",55340,"ENSG00000034971",45.72,17271
"75903",75903,"ENSG00000035115",40.78,48668
"79015",79015,"ENSG00000035141",48.31,6091
"13367",13367,"ENSG00000035403",41.45,126170
"56408",56408,"ENSG00000035499",38.63,103278
"40116",40116,"ENSG00000035664",46.89,164997
"56585",56585,"ENSG00000035681",38.41,76349
"25297",25297,"ENSG00000035687",38.09,43415
"5406",5406,"ENSG00000035720",37.8,48610
"64608",64608,"ENSG00000035862",52.6,72410
"36277",36277,"ENSG00000035928",39.26,78919
"9829",9829,"ENSG00000036054",36.47,64259
"62644",62644,"ENSG00000036257",37.23,115247
"29560",29560,"ENSG00000036448",46.64,120506
"43590",43590,"ENSG00000036473",39.7,95310
"43399",43399,"ENSG00000036530",47.29,43003
"16168",16168,"ENSG00000036549",37.17,121003
"48979",48979,"ENSG00000036565",44,38351
"55927",55927,"ENSG00000036672",54.63,26496
"58220",58220,"ENSG00000036828",41.14,107961
"30247",30247,"ENSG00000037042",51.91,7722
"39170",39170,"ENSG00000037241",46.12,11042
"48598",48598,"ENSG00000037280",60.24,48118
"22399",22399,"ENSG00000037474",43.29,34052
"82837",82837,"ENSG00000037637",43.86,105640
"32170",32170,"ENSG00000037749",43.54,181519
"35259",35259,"ENSG00000037757",52.2,9760
"23724",23724,"ENSG00000037897",52.12,3648
"60955",60955,"ENSG00000037965",51.76,3784
"54581",54581,"ENSG00000038002",39.69,11663
"30916",30916,"ENSG00000038210",41.15,118541
"43151",43151,"ENSG00000038219",38.88,58987
"40155",40155,"ENSG00000038274",38.22,16444
"14265",14265,"ENSG00000038295",35.7,231220
"43971",43971,"ENSG00000038358",57.3,11447
"48962",48962,"ENSG00000038382",43.38,388786
"5763",5763,"ENSG00000038427",37.18,110685
"48980",48980,"ENSG00000038532",48.06,237647
"3119",3119,"ENSG00000038945",35.52,459612
"32638",32638,"ENSG00000039068",46.88,98245
"5608",5608,"ENSG00000039123",36.82,117590
"34988",34988,"ENSG00000039139",39.64,321490
"17893",17893,"ENSG00000039319",37.74,75366
"43421",43421,"ENSG00000039523",57.05,28370
"50137",50137,"ENSG00000039537",36.68,119322
"58925",58925,"ENSG00000039560",42.11,176284
"18114",18114,"ENSG00000039600",40.71,45801
"22352",22352,"ENSG00000039650",59.53,18469
"29206",29206,"ENSG00000039987",57.95,6756
"36005",36005,"ENSG00000040199",41.82,86866
"40557",40557,"ENSG00000040275",37.27,21142
"5269",5269,"ENSG00000040341",38.25,327339
"69834",69834,"ENSG00000040487",54.93,16974
"47378",47378,"ENSG00000040531",54.27,26644
"5592",5592,"ENSG00000040608",60.45,41831
"38186",38186,"ENSG00000040633",59.52,4693
"4583",4583,"ENSG00000040731",34,157878
"80223",80223,"ENSG00000040933",47.33,149538
"1684",1684,"ENSG00000041353",37.74,177656
"6294",6294,"ENSG00000041357",42.32,12012
"1908",1908,"ENSG00000041515",38.48,611853
"28654",28654,"ENSG00000041802",41.68,31672
"40914",40914,"ENSG00000041880",59.21,6522
"42158",42158,"ENSG00000041982",41.84,98632
"71594",71594,"ENSG00000041988",56.78,10718
"2237",2237,"ENSG00000042062",51.6,105434
"6662",6662,"ENSG00000042088",42.14,89825
"17892",17892,"ENSG00000042286",50.25,34711
